Proprietary Name,NDC Package Code,Strength,Dosage Form,Route,Appl. No.,Labeler Name,Product NDC,Nonproprietary Name,Substance Name,Product Type Name,Start Marketing Date,End Marketing Date,Market Category,Package Description,Pharm Class,DEA,Sample Package,Listing Record Certified Through:
Nucynta,24510-050-01,50 mg/1,"TABLET, FILM COATED",ORAL,NDA022304,"Collegium Pharmaceutical, Inc.",24510-050,tapentadol hydrochloride,TAPENTADOL HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,04/01/2019,N/A,NDA,"10 BLISTER PACK in 1 CARTON (24510-050-01) / 10 TABLET, FILM COATED in 1 BLISTER PACK","Opioid Agonist [EPC], Opioid Agonists [MoA]",CII,No,12/31/2027
Nucynta,24510-050-10,50 mg/1,"TABLET, FILM COATED",ORAL,NDA022304,"Collegium Pharmaceutical, Inc.",24510-050,tapentadol hydrochloride,TAPENTADOL HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,04/01/2019,N/A,NDA,"100 TABLET, FILM COATED in 1 BOTTLE (24510-050-10)","Opioid Agonist [EPC], Opioid Agonists [MoA]",CII,No,12/31/2027
Nucynta,24510-058-01,50 mg/1,"TABLET, FILM COATED, EXTENDED RELEASE",ORAL,NDA200533,"Collegium Pharmaceutical, Inc.",24510-058,tapentadol hydrochloride,TAPENTADOL HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,04/19/2019,N/A,NDA,"10 BLISTER PACK in 1 CARTON (24510-058-01) / 10 TABLET, FILM COATED, EXTENDED RELEASE in 1 BLISTER PACK","Opioid Agonist [EPC], Opioid Agonists [MoA]",CII,No,12/31/2027
Nucynta,24510-058-60,50 mg/1,"TABLET, FILM COATED, EXTENDED RELEASE",ORAL,NDA200533,"Collegium Pharmaceutical, Inc.",24510-058,tapentadol hydrochloride,TAPENTADOL HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,04/19/2019,N/A,NDA,"60 TABLET, FILM COATED, EXTENDED RELEASE in 1 BOTTLE (24510-058-60)","Opioid Agonist [EPC], Opioid Agonists [MoA]",CII,No,12/31/2027
Nucynta,24510-075-01,75 mg/1,"TABLET, FILM COATED",ORAL,NDA022304,"Collegium Pharmaceutical, Inc.",24510-075,tapentadol hydrochloride,TAPENTADOL HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,04/01/2019,N/A,NDA,"10 BLISTER PACK in 1 CARTON (24510-075-01) / 10 TABLET, FILM COATED in 1 BLISTER PACK","Opioid Agonist [EPC], Opioid Agonists [MoA]",CII,No,12/31/2027
Nucynta,24510-075-10,75 mg/1,"TABLET, FILM COATED",ORAL,NDA022304,"Collegium Pharmaceutical, Inc.",24510-075,tapentadol hydrochloride,TAPENTADOL HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,04/01/2019,N/A,NDA,"100 TABLET, FILM COATED in 1 BOTTLE (24510-075-10)","Opioid Agonist [EPC], Opioid Agonists [MoA]",CII,No,12/31/2027
Nucynta,24510-100-10,100 mg/1,"TABLET, FILM COATED",ORAL,NDA022304,"Collegium Pharmaceutical, Inc.",24510-100,tapentadol hydrochloride,TAPENTADOL HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,04/01/2019,N/A,NDA,"100 TABLET, FILM COATED in 1 BOTTLE (24510-100-10)","Opioid Agonist [EPC], Opioid Agonists [MoA]",CII,No,12/31/2027
Nucynta,24510-100-01,100 mg/1,"TABLET, FILM COATED",ORAL,NDA022304,"Collegium Pharmaceutical, Inc.",24510-100,tapentadol hydrochloride,TAPENTADOL HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,04/01/2019,N/A,NDA,"10 BLISTER PACK in 1 CARTON (24510-100-01) / 10 TABLET, FILM COATED in 1 BLISTER PACK","Opioid Agonist [EPC], Opioid Agonists [MoA]",CII,No,12/31/2027
Nucynta,24510-116-01,100 mg/1,"TABLET, FILM COATED, EXTENDED RELEASE",ORAL,NDA200533,"Collegium Pharmaceutical, Inc.",24510-116,tapentadol hydrochloride,TAPENTADOL HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,04/19/2019,N/A,NDA,"10 BLISTER PACK in 1 CARTON (24510-116-01) / 10 TABLET, FILM COATED, EXTENDED RELEASE in 1 BLISTER PACK","Opioid Agonist [EPC], Opioid Agonists [MoA]",CII,No,12/31/2027
Nucynta,24510-116-60,100 mg/1,"TABLET, FILM COATED, EXTENDED RELEASE",ORAL,NDA200533,"Collegium Pharmaceutical, Inc.",24510-116,tapentadol hydrochloride,TAPENTADOL HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,04/19/2019,N/A,NDA,"60 TABLET, FILM COATED, EXTENDED RELEASE in 1 BOTTLE (24510-116-60)","Opioid Agonist [EPC], Opioid Agonists [MoA]",CII,No,12/31/2027
