"Proprietary Name","NDC Package Code","Strength","Dosage Form","Route","Appl. No.","Labeler Name","Product NDC","Nonproprietary Name","Substance Name","Product Type Name","Start Marketing Date","End Marketing Date","Market Category","Package Description","Pharm Class","DEA","Sample Package","Listing Record Certified Through:"
"Trandolapril","42806-052-01","1 mg/1","TABLET","ORAL","ANDA078508","Epic Pharma, LLC","42806-052","Trandolapril Tablets","TRANDOLAPRIL","HUMAN PRESCRIPTION DRUG","03/31/2015","N/A","ANDA","100 TABLET in 1 BOTTLE (42806-052-01)","Angiotensin Converting Enzyme Inhibitor [EPC],  Angiotensin-converting Enzyme Inhibitors [MoA]","N/A","No","12/31/2026"
"Trandolapril","42806-052-10","1 mg/1","TABLET","ORAL","ANDA078508","Epic Pharma, LLC","42806-052","Trandolapril Tablets","TRANDOLAPRIL","HUMAN PRESCRIPTION DRUG","03/31/2015","N/A","ANDA","1000 TABLET in 1 BOTTLE (42806-052-10)","Angiotensin Converting Enzyme Inhibitor [EPC],  Angiotensin-converting Enzyme Inhibitors [MoA]","N/A","No","12/31/2026"
"Trandolapril","42806-053-01","2 mg/1","TABLET","ORAL","ANDA078508","Epic Pharma, LLC","42806-053","Trandolapril Tablets","TRANDOLAPRIL","HUMAN PRESCRIPTION DRUG","03/31/2015","N/A","ANDA","100 TABLET in 1 BOTTLE (42806-053-01)","Angiotensin Converting Enzyme Inhibitor [EPC],  Angiotensin-converting Enzyme Inhibitors [MoA]","N/A","No","12/31/2026"
"Trandolapril","42806-053-10","2 mg/1","TABLET","ORAL","ANDA078508","Epic Pharma, LLC","42806-053","Trandolapril Tablets","TRANDOLAPRIL","HUMAN PRESCRIPTION DRUG","03/31/2015","N/A","ANDA","1000 TABLET in 1 BOTTLE (42806-053-10)","Angiotensin Converting Enzyme Inhibitor [EPC],  Angiotensin-converting Enzyme Inhibitors [MoA]","N/A","No","12/31/2026"
"Trandolapril","42806-054-01","4 mg/1","TABLET","ORAL","ANDA078508","Epic Pharma, LLC","42806-054","Trandolapril Tablets","TRANDOLAPRIL","HUMAN PRESCRIPTION DRUG","03/31/2015","N/A","ANDA","100 TABLET in 1 BOTTLE (42806-054-01)","Angiotensin Converting Enzyme Inhibitor [EPC],  Angiotensin-converting Enzyme Inhibitors [MoA]","N/A","No","12/31/2026"
"Trandolapril","42806-054-10","4 mg/1","TABLET","ORAL","ANDA078508","Epic Pharma, LLC","42806-054","Trandolapril Tablets","TRANDOLAPRIL","HUMAN PRESCRIPTION DRUG","03/31/2015","N/A","ANDA","1000 TABLET in 1 BOTTLE (42806-054-10)","Angiotensin Converting Enzyme Inhibitor [EPC],  Angiotensin-converting Enzyme Inhibitors [MoA]","N/A","No","12/31/2026"
"Trandolapril","57237-089-01","1 mg/1","TABLET","ORAL","ANDA078438","Rising Pharma Holdings, Inc.","57237-089","Trandolapril","TRANDOLAPRIL","HUMAN PRESCRIPTION DRUG","06/12/2007","N/A","ANDA","100 TABLET in 1 BOTTLE (57237-089-01)","Angiotensin Converting Enzyme Inhibitor [EPC],  Angiotensin-converting Enzyme Inhibitors [MoA]","N/A","No","12/31/2026"
"Trandolapril","57237-090-01","2 mg/1","TABLET","ORAL","ANDA078438","Rising Pharma Holdings, Inc.","57237-090","Trandolapril","TRANDOLAPRIL","HUMAN PRESCRIPTION DRUG","06/12/2007","N/A","ANDA","100 TABLET in 1 BOTTLE (57237-090-01)","Angiotensin Converting Enzyme Inhibitor [EPC],  Angiotensin-converting Enzyme Inhibitors [MoA]","N/A","No","12/31/2026"
"Trandolapril","57237-091-01","4 mg/1","TABLET","ORAL","ANDA078438","Rising Pharma Holdings, Inc.","57237-091","Trandolapril","TRANDOLAPRIL","HUMAN PRESCRIPTION DRUG","06/12/2007","N/A","ANDA","100 TABLET in 1 BOTTLE (57237-091-01)","Angiotensin Converting Enzyme Inhibitor [EPC],  Angiotensin-converting Enzyme Inhibitors [MoA]","N/A","No","12/31/2026"
"Trandolapril","63629-8003-1","2 mg/1","TABLET","ORAL","ANDA077522","Bryant Ranch Prepack","63629-8003","Trandolapril","TRANDOLAPRIL","HUMAN PRESCRIPTION DRUG","05/02/2019","N/A","ANDA","30 TABLET in 1 BOTTLE (63629-8003-1)","Angiotensin Converting Enzyme Inhibitor [EPC],  Angiotensin-converting Enzyme Inhibitors [MoA]","N/A","No","12/31/2026"
